date,timestamp_ms,frame_index,count,alert
2025-12-04,00:00:000,0,0.000,
2025-12-04,00:00:333,10,0.000,
2025-12-04,00:00:666,20,0.000,
2025-12-04,00:01:000,30,0.000,
2025-12-04,00:01:333,40,0.000,
2025-12-04,00:01:666,50,0.000,
2025-12-04,00:02:000,60,0.000,
2025-12-04,00:02:333,70,0.000,
2025-12-04,00:02:666,80,0.000,
2025-12-04,00:03:000,90,0.000,
2025-12-04,00:03:333,100,0.000,
2025-12-04,00:03:666,110,0.000,
2025-12-04,00:04:000,120,0.000,
2025-12-04,00:04:333,130,0.000,
2025-12-04,00:04:666,140,0.000,
2025-12-04,00:05:000,150,0.000,
2025-12-04,00:05:333,160,0.000,
2025-12-04,00:05:666,170,0.000,
2025-12-04,00:06:000,180,0.000,
2025-12-04,00:06:333,190,0.000,
2025-12-04,00:06:666,200,0.000,
2025-12-04,00:07:000,210,0.000,
2025-12-04,00:07:333,220,0.000,
2025-12-04,00:07:666,230,0.000,
2025-12-04,00:08:000,240,0.000,
2025-12-04,00:08:333,250,0.000,
2025-12-04,00:08:666,260,0.000,
2025-12-04,00:09:000,270,0.000,
2025-12-04,00:09:333,280,0.000,
2025-12-04,00:09:666,290,0.000,
2025-12-04,00:10:000,300,0.000,
2025-12-04,00:10:333,310,0.000,
2025-12-04,00:10:666,320,0.000,
2025-12-04,00:11:000,330,0.000,
